16,0.18823084,0.178345,8.0,4.0,16.0,2.0,4.0,4.0,cpu-I5
32,0.18823084,1.7530400000000002,2.0,4.0,32.0,32.0,2.0,32.0,cpu-I5
64,-11.1054,8.34247,2.0,64.0,32.0,8.0,32.0,32.0,cpu-I5
128,-75.79193,41.4367,4.0,4.0,2.0,128.0,128.0,128.0,cpu-I5
16,0.18823084,0.178345,8.0,4.0,16.0,2.0,4.0,4.0,cpu-I5
32,0.18823084,1.7530400000000002,2.0,4.0,32.0,32.0,2.0,32.0,cpu-I5
64,-11.1054,8.34247,2.0,64.0,32.0,8.0,32.0,32.0,cpu-I5
128,-75.79193,41.4367,4.0,4.0,2.0,128.0,128.0,128.0,cpu-I5
16,0.18823084,0.178345,8.0,4.0,16.0,2.0,4.0,4.0,cpu-I5
32,0.18823084,1.7530400000000002,2.0,4.0,32.0,32.0,2.0,32.0,cpu-I5
64,-11.1054,8.34247,2.0,64.0,32.0,8.0,32.0,32.0,cpu-I5
128,-75.79193,41.4367,4.0,4.0,2.0,128.0,128.0,128.0,cpu-I5
16,0.2502481,0.353689,4.0,8.0,2.0,2.0,16.0,4.0,cpu-I5
32,0.34728745,1.8176900000000002,16.0,8.0,32.0,4.0,8.0,2.0,cpu-I5
64,4.6277647,5.66712,32.0,32.0,32.0,16.0,64.0,8.0,cpu-I5
128,8.650026,38.4664,64.0,64.0,64.0,64.0,8.0,4.0,cpu-I5
16,0.2502481,0.353689,4.0,8.0,2.0,2.0,16.0,4.0,cpu-I5
32,0.34728745,1.8176900000000002,16.0,8.0,32.0,4.0,8.0,2.0,cpu-I5
64,4.6277647,5.66712,32.0,32.0,32.0,16.0,64.0,8.0,cpu-I5
128,8.650026,38.4664,64.0,64.0,64.0,64.0,8.0,4.0,cpu-I5
16,0.2502481,0.353689,4.0,8.0,2.0,2.0,16.0,4.0,cpu-I5
32,0.34728745,1.8176900000000002,16.0,8.0,32.0,4.0,8.0,2.0,cpu-I5
64,4.6277647,5.66712,32.0,32.0,32.0,16.0,64.0,8.0,cpu-I5
128,8.650026,38.4664,64.0,64.0,64.0,64.0,8.0,4.0,cpu-I5
16,0.2502481,0.353689,4.0,8.0,2.0,2.0,16.0,4.0,cpu-I5
32,0.34728745,1.8176900000000002,16.0,8.0,32.0,4.0,8.0,2.0,cpu-I5
64,4.6277647,5.66712,32.0,32.0,32.0,16.0,64.0,8.0,cpu-I5
128,8.650026,38.4664,64.0,64.0,64.0,64.0,8.0,4.0,cpu-I5
16,0.2502481,0.353689,4.0,8.0,2.0,2.0,16.0,4.0,cpu-I5
32,0.34728745,1.8176900000000002,16.0,8.0,32.0,4.0,8.0,2.0,cpu-I5
64,4.6277647,5.66712,32.0,32.0,32.0,16.0,64.0,8.0,cpu-I5
128,8.650026,38.4664,64.0,64.0,64.0,64.0,8.0,4.0,cpu-I5
16,0.2502481,0.353689,4.0,8.0,2.0,2.0,16.0,4.0,cpu-I5
32,0.34728745,1.8176900000000002,16.0,8.0,32.0,4.0,8.0,2.0,cpu-I5
64,4.6277647,5.66712,32.0,32.0,32.0,16.0,64.0,8.0,cpu-I5
128,8.650026,38.4664,64.0,64.0,64.0,64.0,8.0,4.0,cpu-I5
